Desempregados,Empregados,Pensionistas,Analfabetos,1Ciclo,2Ciclo,3Ciclo,EnsinoSec,EnsinoPosSec,CursoSup,M
13,84,46,3,25,14,28,28,4,59,1
8,89,32,0,19,12,14,27,5,79,1
13,71,65,1,29,16,21,32,0,63,1
6,78,75,1,32,10,28,47,2,56,1
0,0,0,0,0,0,0,0,0,0,0
9,108,72,6,41,23,39,35,3,68,1
4,42,29,6,19,15,12,15,1,16,1
21,156,125,9,99,43,72,72,1,42,1
12,62,84,9,68,14,22,30,1,29,1
14,83,92,5,54,23,45,39,3,49,1
7,9,16,4,18,4,7,7,0,6,1
15,56,42,2,42,17,34,33,3,27,0
0,4,0,0,2,0,0,0,0,2,1
11,85,71,2,35,16,39,31,5,72,1
3,19,77,0,13,6,24,30,1,44,1
0,6,4,0,3,1,0,1,0,6,0
0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0
9,51,57,7,35,5,25,22,2,39,1
12,80,64,11,66,23,27,27,0,28,1
14,87,60,8,55,24,30,30,0,43,1
8,90,66,1,37,14,30,36,5,61,1
9,97,77,6,72,22,38,36,4,25,1
34,237,248,12,164,72,114,93,8,106,1
16,150,122,2,62,26,48,53,8,114,1
7,22,26,7,25,7,14,9,0,2,1
3,28,8,0,6,0,7,6,1,26,1
1,13,16,2,14,6,1,4,1,4,1
15,184,175,6,91,35,67,93,6,132,1
2,8,18,2,12,3,3,1,1,9,0
4,43,8,0,6,3,5,11,1,37,1
6,59,63,3,46,17,25,27,2,26,1
9,60,57,5,31,11,27,30,4,39,1
10,108,51,3,32,13,23,42,8,66,1
9,62,33,3,26,6,15,23,1,46,1
12,11,4,4,14,12,11,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0
5,57,23,5,39,23,32,10,0,2,1
1,21,2,0,0,0,1,7,0,22,1
8,144,59,2,39,12,39,45,1,129,1
1,73,24,0,14,5,9,15,3,68,1
6,113,96,11,44,22,27,48,6,116,1
18,264,125,2,64,33,58,87,4,253,1
3,148,28,0,10,12,28,36,1,139,1
0,0,0,0,0,0,0,0,0,0,0
19,236,75,1,26,28,45,106,5,213,1
20,228,150,3,63,34,79,83,6,236,1
18,316,59,2,26,19,34,77,7,276,1
3,143,58,0,13,16,32,52,3,148,1
7,47,34,2,26,7,15,20,0,20,1
38,143,54,39,129,66,80,38,2,10,1
22,64,37,11,76,25,25,14,1,3,1
32,102,55,26,98,39,43,14,1,2,1
38,115,50,38,108,50,58,17,1,1,1
13,133,74,0,50,32,34,42,7,95,1
0,0,0,0,1,0,0,0,0,0,0
10,81,73,4,57,10,28,31,4,45,1
20,111,99,5,45,14,58,55,4,87,1
14,127,69,1,38,21,39,54,1,92,1
11,54,43,2,24,8,24,27,0,38,1
13,29,45,5,34,17,15,15,1,7,1
14,89,70,6,34,20,38,44,2,63,1
